Tweet,Analysis,context,Counter,
" 
السلام عليكم 
شريحة مسبقة الدفع ما هي طريقة تفعيل ١٠٠ جيجا بسعر ١٠٠ ريال .
 ",,,,
" 
السلام عليكم ورحمة الله وبركاته
انا ارسلت طلب لتفعيل خدمة 120 راح الرصيد والخدمة ماتفعلت",,,,
" 
السلام عليكم،ياليت تشوفون لي حل مع شركة الاتصالات ذي،لي شهور انتظر نقل الهاتف ولا نقلوه وركبت خط جديد ولا فعلوه وقدمت شكاوي من الموقع لكن بلا فائدة",,,,
" 
بطي مرة 😂😂😂😂😂🤣🤣🤣🤣🤣
#الانترنت_عندك_سريع_او_بطي",,,,
" 
تصاعد الانتهاكات ضد الصحافيين الفلسطينيين #القدس_عاصمة_فلسطين  #فلسطين #غزة #هوا_الحرية  #الانترنت_عندك_سريع_او_بطي  ",,,,
" 
تصميم فلاتر سناب لكل المناسبات ../حفلة زواج /حفلة مولود/مناسبات خاصه.. بأاسعار رمزيه ومناسبه التواصل على الخاص

#الانترنت_عندك_سريع_او_بطي",,,,
" 
سعادة الوزير لنا ثلاث سنوات نطالب بإصلاح هذا البرج الواقع بمركز يبس رقم (zbh 941) وللاسف لاحياة لمن تنادي / البرج 3G السرعة ضعيفة جداً نامل من   إصلاح البرج والله الموفق 
 
 
    ",,,,
" 
سلام عليكم الحبايب ذولا    فصلو النت علي في البيت من فجر للحين وانا متضرر الحين ايش الحل؟؟؟",,,,
" 
صباح الخير،،،

السادة موبايلي المحترمين
ياليت تحذفون تطبيق موبايلي و تصدرون تطبيق جديد كليا و منافس عن الاول الاتصالات السعودية

قسم تطبيق الاتصالات نقله نوعيه جبارة آخر السنتين الماضيه تطورات فظيعة

استغلوا الفرص و اشتغلوا على منتجكم بجديه",,,,
" 
كاديلاك سي تي 5 الجديدة 2019 - قادمة لاستبدال سي تي أس و سي تي أي دفعة واحدة",,,,
" 
كل الشكر والتقدير للأستاذ فيصل
على سرعة تجاوبه وسرعة تواصله هاتفيا واتخاذ اجراءات لتسريع الفصل في الشكوى
أمنى له ولهيئة الاتصالات السعودية   المزيد من التقدم والنجاح  ",,,,
" 
كم رت وتقفلون المفوتر حق سجسج",,,,
" 
مقدمه لكم من شركة UFX (يو اف اكس)
أرباح الاتصالات تدعم السوق
 ",,,,
" 
هل عندكم ايفون xاقساط",,,,
" 
يعني هذا الاسم ما عمر أحد اكلك هوى تعامل مع هذا stc ستعلم عندئذ ويش معنى النصب والاحتيال ودس المكر والخداع داخل ثنايا أي عقد مع stc",,,,
" 
🛑
موبايلي هذي رقم شكواي لدى #هيئة_الاتصالات  39667010
👇
ممكن تحلون مشكلتي
خدمة الالياف متوقفة ومسدد من يومان للاسف إلى الآن لم ترجع الخدمة!!
👇
1️⃣ مين يعوضني عن الايام المدفوعة  بدون خدمة ؟
2️⃣ متى سترجع الخدمة؟
👇
اتمنى يا #موبابلي ترتقون في مصداقيتكم !",,,,
" 
🛑
ياموبابلي هذي رقم شكواي لدى #هيئة_الاتصالات  39667010
👇
ممكن تحلون مشكلتي الان
خدمة الالياف متوقفة ومسدد من يومان للاسف إلى الآن لم ترجع الخدمة!!
👇
1️⃣ مين يعوضني عن الايام المدفوعة  بدون خدمة ؟
2️⃣ متى سترجع الخدمة؟
👇
اتمنى يا #موبابلي ترتقون في مصداقيتكم !",,,,
"           #مركز_مهر_بيشه_بدون_نت اكثر 50 الف نسمه محرومين من خدمات النت بدون عذر مبرر من المسؤلين ومع كثر الوعود الواهية",,,,
"   أسعد الله مسائكم، انا في حي نمار، استفسرت عن طريقة رفع طلب لتمديد الخط الأرضي للهاتف الثابت والالياف البصرية من أحد مكاتبكم، قال لي ما دام الحي ما فيه تمديد ما نقدر نسوي شي!!متى سيتم دعم الحي بها؛ خصوصاً مع الضغط على شبكة الجوال؟",,,,
"  اشكرك شكر خاص على النت المحترم والخدمة المحترمة باقة ٣ شهور وراحت كذا 2G  ",,,,
"  عذرا انتم غير محترمينانا لي ساعة ابقى استقبال رسالة لاحد البنوك للدخول للبوابة الاوين ولا جايه اتجيني كل شهر لازم اتجيني منكم مشكلة متى تصيروا محترمين",,,,
"  مشكلتها بالاسعار لكن سرعاتها تعدلت للامانة تردد 1800 وتردد 700 الجديد اهنييكم عليه بس باقي ترحمون الشعب بالاسعار #الانترنت_عندك_سريع_او_بطي  ",,,,
"  مساء الخير.. عزيزي لماذا لايمكن لسوا والمفوتر التصويت للمتسابق #لجي_المسرحي في برنامج ذا فويس كدز .. ممثل البلد محتاج وقفتكم .. الرجاء حل المشكلة عاجلا وهذي الرقام في الصورة  ",,,,
" تعالوو شوفو حل مع برجكم المقوي ولا اخذوه وروحو.نبي برج الاتصالات برجهم افضلل👇   #قريه_ام_الغيران_بلا_خدمات",,,,
" شارك وفيد غيرك#تاسي #سوق_الأسهم  #سوق_الاسهم_السعودي  #تداول #الراجحي #اتحاد_ألاتصالات #موبايلي #الواحة #الكيميائية_السعوديه #تشب #السعودي_الالماني",,,,
" متى تعلنون عن توحيد الفواتير بالميلادي ؟ ما وصلكم التعميم !!!",,,,
" هيه انتم مو اننا طقطقنا على التفاحات شوي تحسبونا ننسى انكم شريكين مع اللصوص (   ) ",,,,
" ومازلنا في انتظار تحقيق الحلم لإيصال خدمة الانترنت المنزلي..الأن صار توصيل خدمة الانترنت من عمانتل بمثل من يحلم بوصول إلى القمر..  ",,,,
" ""البلديات"" و""بتلكو"" تدشنان مشروع خدمة الإنترنت المجاني بالمرافق العامة والسياحية #Bahrain #البحرين #أخبار #الوطن",,,,
" ""بتلكو"" تدشن خدمة الإنترنت المجاني بالمرافق العامة والسياحية #Bahrain #البحرين #أخبار #الوطن",,,,
" #ويستمر_الحلم_لأيصال_خدمة_الانترنتخدمات سريعه وهي مجرد دعايه ولكن فالواقع ليس صحيحا..  ",,,,
" الانترنت متعطل في المنزل كالعادة وهذا منظر الكبينة فهل نتوقع جودة خدمة وهي بهذا الحال  ",,,,
" السعودية تلزم شركات الاتصالات بمشاركة أبراج الشبكات #Bahrain #البحرين #أخبار #الوطن",,,,
" السلام عليكم ممكن المساعده ابي رقم البنك حق جوالي قفل علي ب ادخال الرقم السري خطا شكرا",,,,
" بأي حق شريحة بيانات مفصول عنها الخدمة من ثلاثة أشهر وفاتورتها لازالت ماشيه شهرياً. كيف حللتوها لأنفسكم يا STC صورة مع التحية ل   وصورة مع التحية ل   إلى متى هذا الخداع من شركات الاتصالات",,,,
" سلام عليكم الحبايب ذولا    فصلو النت علي في البيت من فجر للحين وانا متضرر الحين ايش الحل؟؟؟",,,,
" عرض مجنووووووووون  ",,,,
" كم رت وتقفلون المفوتر حق سجسج",,,,
" كيف يتم طلب إنترنت منزلي؟إذا كان عبر الموقع غير مجديوعبر الإتصال غير مجديما هي الوسيلة الفاعلة للتواصل معكم لطلب الخدمة؟فضلاً تسهيل أمر التواصل فضلاً",,,,
" ليتك تفتح موضوع استغلال شركات الاتصالات  وخصوصا باقات النت",,,,
" من شهر ٩ / ٢٠١٧ قدمت على طلب توصيل خدمة الانترنت المنزلي وهذا رقم الطلب ( 169975) والى الان لم يتم التوصيل .. مازلت انتظر ان تصل خدمة الانترنت لمنزلي  فالأيام تمضي و الشهور ايضا ..",,,,
" هو موقع شهير لبيع الكتب من علي الانترنت باسعار غير مرتفعةويوجد به مجموعات رائعة من الكتب ويقدم خدمة التوصيل لاي مكان في العالم  ",,,,
" ومات الحلم في انتظار إيصال خدمة الانترنت..  ",,,,
" ومازالت هذا هي الشركة تقدم اسوء انترنت وكأنها تقدمه مجاناًومازالت الهيئة    تحبي   هذه الشركة وكأن الهيئه تحت إدارة الشركة ليس العكسالسؤال إلى متى سيستمر هذا الحال هل من مجيب؟؟؟",,,,
" يعني هذا الاسم ما عمر أحد اكلك هوى تعامل مع هذا stc ستعلم عندئذ ويش معنى النصب والاحتيال ودس المكر والخداع داخل ثنايا أي عقد مع stc",,,,
 #الانترنت_عندك_سريع_او_بطي,,,,
"ـ #بورصة_الكويت 

ـ نتائج 2017 🔴
ـ نتائج 2017 🔴
ـ نتائج 2017 🔴

ـ شركة الاتصالات الكويتية #فيفا
ـ تعلن عن تحقيق نمو طفيف بواقع 1% لنتائج نهاية السنة المالية 2017 ، وأظهرت النتيجة صافي الربح 40,092,428 دينار
ـ مجلس الإدارة يقترح توزيع 30% #أرباح_نقدية

:
:",,,,
"ـ #بورصة_الكويت 

ـ نتائج 2017 🔴
ـ نتائج 2017 🔴
ـ نتائج 2017 🔴

ـ شركة الاتصالات الكويتية #فيفا
ـ تعلن عن تحقيق نمو طفيف بواقع 1% لنتائج نهاية السنة المالية 2017 ، وأظهرت النتيجة صافي الربح 40,092,428 دينار
ـ مجلس الإدارة يقترح توزيع 30% #أرباح_نقدية

:
:  ",,,,
"ـ #بورصة_الكويت 

ـ نتائج 2017 🔴
ـ نتائج 2017 🔴

ـ شركة الاتصالات الكويتية #فيفا
ـ تعلن عن تحقيق #نمو طفيف بواقع 1%
ـ عن السنة المالية المنتهية في 2017
ـ #صافي_الربح 40,092,428 دينار
ـ مجلس الإدارة يقترح توزيع #أرباح_نقدية 30% 

ـ نتائج 2017 🔴
ـ نتائج 2017 🔴  ",,,,
"ـ #بورصة_الكويت 🔴

ـ مجلس إدارة :
ـ شركة الاتصالات الكويتية #فيفا
ـ يجتمع الخميس 1 فبراير 2018 لمناقشة بيانات 2017
ـ
ـ
ـ  ",,,,
" , and   stop using the alert service for advertising , its ANNOYING!  ",,,,
 #مجتمع_المعلومات,,,,
 .   .  .          #سوء_شبكه_الحناكيه.                              سبحان الله💜.,,,,
 @ حلو مشكلتي لها اكثر من 6شهور عشان تأسيس هاتف وانترنت وكل يوم تجي رسائل مواعيد تركيب ولا اشوف احد وكل ما اتصل يقول توجد مشكله في الكبينه  ,,,,
"ـ ☻🍹»

ماتعرفون عجوز تسلف فلوس وتنسى ☻

-
#اكاديميه_الحياه_لاجيال_جده
#مهرجان_الملك_عبدالعزيز_للإبل 
#متي_تحتاج_الصمت
#الانترنت_عندك_سريع_او_بطي",,,,
 الصراحه لا هو سريع او بطي ,,,,
"ٰ

⠀

يامساء  الـود والـورد وشـذاهـ
للجمـيع بدون ما اسمـي أحـد
كل شخص مر .الحرف وقراهـ
ياعسى يومه تباشــير وســعد؛

⠀ مــ ͒ــســ ͒ــاء الورد #🌸🍃
.
#الانترنت_عندك_سريع_او_بطي
#متي_تحتاج_الصمت
#قول_اللي_بخاطرك_بتغريده  ",,,,
"﴿ وَاذْكُر ربّكَ إِذَا نَسِيتَ ﴾؛
- سُبحان الله
- الحمدالله
- الله أكبّر
- أستغفر الله
- لا اله الا الله
- لاحول ولا قوة الا بالله ..

#الانترنت_عندك_سريع_او_بطي",,,,
"﴿إِنَّ اللَّهَ وَمَلَائِكَتَهُ يُصَلُّونَ عَلَى النَّبِيِّ يَا أَيُّهَا 
الَّذِينَ آَمَنُوا صَلُّوا عَلَيْهِ وَسَلِّمُوا تَسْلِيمًا﴾
 #الجمعة #يوم_الجمعة 
#الانترنت_عندك_سريع_او_بطي",,,,
"﴿إن الله وملائكته يصلون على النبِي يا أيها الذين آَمنُوا صلوا عليه وسلمُوا تسليمًا﴾. 

٠
٠
""
 #الانترنت_عندك_سريع_او_بطي
 #مهرجان_الملك_عبدالعزيز_للابل
 #متي_تحتاج_الصمت

 #فديت_تراب_رجلك_ياامي
 #اكاديميه_الحياه_لاجيال_جده",,,,
"﴿وما نُرسِلُ بالآياتِ إلا تخويفاً﴾ اللهم لا تنزل غضبك علينا ولا تؤاخذنا بذنوبنا، واغفر لنا وارحمنا يا أرحم الراحمين.

 #الانترنت_عندك_سريع_او_بطي",,,,
"""                الحجب كان على 3 مراحل:",,,,
"""                بالفعل وعلى سبيل المثال لاالحصر شركة الاتصالات السعودية stc مازالت فواتيرها بالهجري ، بزيادة 11 يوم بالسنة """"كأرباح""""!!""",,,,
"""              مو صحيح المشكله من الاتصالات",,,,
"""            شركة الإتصالات السعوديه تعلن عن وظائف للخريجين الجدد بعدد من المجالات",,,,
"""          زين أفضلهم ثم stc ثم موبايلي , لكن يبقى النت سيء في السعودية""",,,,
"""        عن طريق هيئة الاتصالات وهذا الرابط المباشر بس بالهم طويل انتظر وكمل الط",,,,
"""      الواحد ماهو عارف وش يكتب من كثر ماهو منغث من تصرفات موبايلي ، لا هذا وأنا",,,,
"""      شوف حملت ملف حجمه 5Gb والسرعة ثابته ما تغيرت اهم",,,,
"""      طلع شريحة زين او STC ثم حولها موبايلي على العرض ابو خمس شرائح و كذا لك خص",,,,
"""      فعلآ يستحق التكريم ولكن طلبك بتخصيص تذاكر له مدى الحياة غير منطقي وغير مقبول واذا كان قصدك تكريمه وليس الاسقاط على #الخطوط_السعودية",,,,
"""      للاسف شركات الاتصالات لم تطبق القرار والموضوع كله تحديث للباندل الخاص بشركات السعوديه يعني فقط يتم ارسال تحديث للشبكه للمستخدم وتنحل المشكله ، ومعالي الوزير في تغريده قال انه بينظر في الموضوع والى الان مافي شي جديد ..",,,,
"""      هذا نص الرسالة من سمة(مرحبا جاسر تم تسوية المديونية في تقريرك مع الاتصالات السعودية لحساب المنتج الهاتف الجوال لمزيد من المعلومات يمكنك الاطلاع على تقريرك بزيارة موقع سمة)",,,,
"""      هل الاي فون حقه ماخذه من السعودية و لا من برا ؟",,,,
"""    220 ريال",,,,
"""    السلام عليكم",,,,
"""    السلام عليكم ، اخذت 100GB كويك نت من شركة موبايلي وكان مكتوب في الموقع 100",,,,
"""    الضحك ع الذقون عيب .",,,,
"""    الواي فاي stc والشريحة زين و هواوي موبايلي كلهم اردى من بعض زين كنه هه هه ن",,,,
"""    بين السعودية وامريكا مصالح ومنافع مشتركة",,,,
"""    تفعل الخدمة :",,,,
"""    شوية منطق من اللي بيستفيد من حظر الفيس تايم",,,,
"""    قسم بالله انكم تقنيين أي كلام،يا عالم الاجهزة السعودية مافيها فيس تايم،وابل تنتظر هيئة الاتصالات تتواصل معهم،كان معي ايفون بريطاني ويتفعل مع الرقم لكن ما يتفعل بالايميل..",,,,
"""    كلامه مردود عليه",,,,
"""    لا عادي! أنا شريته من جرير السعودية اذا سافرت مصر ألقى الفيس تايم! من حاله يشتغل و اول ما ارجع السعودية يختفي🤭😂😂 من نفس شركات الاتصالات """"السعودية"""" مب آبل🤦🏻",,,,
"""    مادري والله جايني هدية، لكن رقمي موبايلي والنت اس تي سي 💭""",,,,
"""    نصيحة لاتحول والله بتندم .. انا عندي النت موبايلي بس سيئ جداً جداً ، وانتظر",,,,
"""    نفس الشي كانت شريحتي على زين وصار النت سيء وحولت موبايلي ولاحظت الفرق في سر",,,,
"""    والله ما نردك إذا ودك تدفع 3000🌹",,,,
"""    ياتنطق بالحقيقه ياتسكت وبلاش مجامله قدام معالي الوزير انت تقني وتعرف الحجب من الاجهزه التي تباع من قبل شركات الاتصالات السعوديه زين وموبايلي والاتصالات .",,,,
"""   بالله وش المشكلة في موبايلي",,,,
"""  الاتصالات السعودية طلعو حرامية  اشتركت معهم لمدة يوم واحد فقط وتم الالغاء في نفس اليوم وتم سحب ٣٠ رياااال لمدة شهر ؟؟",,,,
"""  الحقيقه انه فيه اماكن زي ارامكو وكاوست في السعوديه عندهم سرعات انترنت عاليه فممكن يعاملوهم بنفس المستوى.. بس حقيقي لا مفر من التعامل مع شركات الاتصالات في مجال التقنيه .. ونفسي قوقل او امازون ما تفوت الفرصه لو شافت فيه مجال انها تفتح شركه اتصالات وتكسر سوقهم 😂",,,,
"""  السلام عليكم",,,,
"""  السلام عليكم ..",,,,
"""  السلام عليكم موبايلي حاجبة الشات الصوتي بحيث انه يؤثر على تجربة اللاعب",,,,
"""  السلام عليكم.",,,,
"""  المشكلة انو التقنين الي كانو في الملتقى مع الوزير موظفين شركات الاتصالات من stc وغيرها",,,,
"""  المشكله عدم توفر فيس تايم",,,,
"""  انا حولت شريتحي من stc الى موبايلي أمس ، الى الان ما تم التفعيل !؟""",,,,
"""  انا شاري جهازي من السعوديه",,,,
"""  انا شريحتي موبايلي ، آمري 🤓""",,,,
"""  اهلآويتك مأثرة عليك ...",,,,
"""  إذا كانت أبل هي من منعت الفيس تايم على الأجهزة السعودية؛ فما هو دور هيئة الاتصالات في التحاور مع شركة أبل للسماح  لتفعيل خدمة #FaceTime للأجهزة المباعة محلياً؟",,,,
"""  أسوأ نت في العالم كله عندنا في السعودية",,,,
"""  أهلاً و سهلاً",,,,
"""  أهلاً و سهلاً تقدم موبايلي باقة الانترنت 10 جيجابايت لمدة 90 يوماً بمبلغ 120",,,,
"""  أهلا بك",,,,
"""  باختصار الناس تريد من الهيئه الشفافيه فقط في توضيح انها قامت بعملها لانه بناء على تواصل بعض المستخدمين مع  وضحت   انه لم يصلهم اي خطاب رسمي من هيئة الاتصالات يوضح ان الخدمه مسموح بها في السعوديه",,,,
"""  حضراتكوا يتشوفوا التويتس بس مش بتردوا، وأما الكلام يحرجكوا بتعملوا بلوك؟ طب أ",,,,
"""  حياك الله عزيزي في حال مسح رقم الكشط الرجاء التوجه الى فرع موبايلي وتزويد الم",,,,
"""  حياك الله عزيزي لتفعيل خدمة استقبال الرسائل الاعلانية الترويجية لخدمات المحتو",,,,
"""  حياك الله عزيزي من أجل ضمان إستفادتك بشكل كامل من الخدمات المقدمة عبر نظام ال",,,,
"""  حياك الله عزيزي يمكنك الحصول على رقم الحساب الخاص بشريحة البيانات بالاتصال عل",,,,
"""  حياك الله لا يتوفر انترنت لا محدود اثناء التجوال والباقات تقدم موبايلي خمسة ب",,,,
"""  حياك الله وعليكم السلام ورحمة الله وبركاته عزيزي يمكنك الحصول على رقم الحساب",,,,
"""  زين كذا بكل مكان لو تحط ثري جي وتقيس سرعته بتلقاه اسرع من الفورجي ، طبعا موبا",,,,
"""  سيدي أبنائك موظفي شركة حلول الإتصالات السعودية يحتاجون الأنصاف ومسواتهم  بموظفي شركة الإتصالات السعودية  الكثير منهم لدية أسرة وأبناء ودخلهم  مابين ٤٥٠٠ و٦٠٠٠ ألاف  وأملي وأملهم بعد الله وقفتكم.",,,,
"""  عليكم السلام ورحمة الله وبركاته.",,,,
"""  فعلاً ، كان جوالي ايفون 5 اس إصدار سعودي بدون فيس تايم ، رحت مصر اول ماركبت شريحة مصرية طلع لي برنامج فيس تايم ، واذا شبكت الشريحة السعودية ينحذف البرنامج",,,,
"""  في قرية ام الغيران يا ايها الفاضل برج موبايلي منزوعه منه الشرائح ولم يتبقى ال",,,,
"""  كلامك غير صحيح وش فائدة ابل من حجب الفيس تايم في السعودية وهي مفعلة الخدمة في أغلب دول العالم شركات الاتصالات هي من تطلب إلغاء الخدمة بحجة أن القانون يمنع ذلك.",,,,
"""  كلكم حراميه .. موبايلي /stc / زين",,,,
"""  لا تنسون قرية و منتزه الدحاض يا سبق في بني سعد",,,,
"""  للاسف عميل موبايلي لاكثر من خمس سنوات",,,,
"""  ماحدث في موبايلي تضليل في القوائم المالية بسبب  المحاسب القانوني للشركة،، من",,,,
"""  مرحبًا , الرقم مفصول نهائيًا بسبب إنتهاء فترة الصلاحية لأكثر من 30 يوم ويمكنك",,,,
"""  مرحبا",,,,
"""  مرحبا ،، ابغى عروض مكالمات خارج موبايلي اسبوع او يوم ضروري ؟؟؟""",,,,
"""  مررة جميلة الخدمة بس اتوقع انه للاشتراك الجديد حاليا مافيها مشاركة الخدمات بي",,,,
"""  مفروض من يوم قامت الحرب  ودخل التحالف تدخل شركه اماراتيه والا فرع ل شركة الاتصالات السعوديه لتقديم الخدمه    علما ان stc   منتشره في الكويت والبحرين وقادره تدخل سوقنا",,,,
"""  مو ابل و مب الوزير اعتقد شركات الاتصالات هي السبب .",,,,
"""  موبايلي ضعيفه حول اس تي سي 👍",,,,
"""  موبايلي عندنا خايسه مره ، بس زين وstc الافضل""",,,,
"""  موبايلي عندي داخل المنزل سيئه",,,,
"""  موبايلي, يرجى إختيار اللغة المطلوبة  و الاستماع لجميع الخيارات بعناية حتي الن",,,,
"""  والله لو بريال ، معاذ الله موبايلي""",,,,
"""  وبإمكان هيئة الاتصالات السعودية ترسل خطاب صغير لشركة أبل بأن الحكومة سمحت للفيستايم بالعمل عشان ترسل أبل تحديث للأجهزة المستخدمة في السعودية علشان تتفعل الخدمة..",,,,
"""  وش المشكلة في موبايلي",,,,
"""  وعليكم السلام ورحمة الله وبركاته",,,,
"""  وهذا يعني أن شركات الإتصالات عندنا في #السعودية ينطبق عليها المثل القائل""""حشفاً وسوء كيلة""""",,,,
"""  يا انه مضيع الباسوورد",,,,
"""  يا بت دا تفكيرك يا بت ماتنكريش لالا ماتحاوليش 😂😂",,,,
"""  يا جماعة الخير الموضوع بصريح العبارة",,,,
"""  👈🏻قطاع الإتصالات يحتاج إلى توازن في المنافسة .",,,,
""" #هيئة_الاتصالات "" توقف خدمات 33 مرخَّصًا له لخدمة الرسائل النصية القصيرة
   ",,,,
""" ... السعادة الإنسانية الصحيحة هي في العطاء دون الأخذ""
#الانترنت_عندك_سريع_او_بطي",,,,
""" الاتصالات "" تلزم المشغلين بمشاركة الأبراج ومكونات الشبكة عند نشر خدماتها 
#الاتصالات
#السعودية
   ",,,,
""" الاتصالات "" تلزم المشغلين بمشاركة الأبراج ومكونات الشبكة عند نشر خدماتها #الاتصالات#السعودية   ",,,,
""" الاتصالات السعودية "" تعلن وظائف شاغرة للرجال في الرياض
#وظائف
#السعودية
#صدى
   ",,,,
""" اللهم صلِ وسلم على نبينا محمد ""#الانترنت_عندك_سريع_او_بطي",,,,
""" بأسلوبك ..
تُحب .. تُحترم .. تُعشق .. 
وتُترك أيضاً "" ..

#الانترنت_عندك_سريع_او_بطي",,,,
""" رَبِّ لَا تَذَرْنِي فَرْدًا وَأَنتَ خَيْرُ الْوَارِثِينَ "".
#تاخير_الحمل 
#العقم
#تكيس
#فالوب
#الاجهاض_المتكرر
علاجها بامر الله ب الاعشاب
#حفيدة_العطار
#المدينه_المنورة 
#عنيزة
#الرس
#القريات
  

#الانترنت_عندك_سريع_او_بطي",,,,
""" كسرني قريب وجَبرني غريب ""

#الانترنت_عندك_سريع_او_بطي",,,,
""" نقوم بإعداد عروض تقديمية بأسعار تنافسيه إبتداء من (20) ريال للعرض.
"" تصميم كتب إلكترونية.
"" تصميم أوراق للبحوث المختلفة.
"" بناء جداول مواصفات.
"" تحليل محتوى وبناء إختبارات.

 #الانترنت_عندك_سريع_او_بطي",,,,
""" هيئة الاتصالات "" توقف 33 مشغلًا مرخصًا
#هيئة_الاتصالات
#السعودية
#صدى
   ",,,,
"""

اللهّم إني أستودعتك
الدقة الأخيرة من قلبي أن تجعلها حُسن خاتمة""
 
#الانترنت_عندك_سريع_او_بطي",,,,
""""""" الاتصالات السعودية """" تعلن وظائف شاغرة للرجال في الرياض",,,,
"""""""الاتصالات السعودية"""" تنجح في تنويع مصادر إيراداتها وتجني أرباحا تفوق التوقعات  -  """,,,,
"""""""الاستثمارات العامة"""": قطاع الاتصالات وتقنية المعلومات سيوفر 213 ألف وظيفة",,,,
"""""""الرياض المالية"""": نتائج """"الاتصالات السعودية"""" فاقت توقعاتنا.. ونجحت في تنويع مصادر الإيرادات وتطبيق إجراءات خفض المصاريف",,,,
"""""""الرياض المالية"""": نتائج """"الاتصالات السعودية"""" فاقت توقعاتنا.. ونجحت في تنويع..  """,,,,
"""""""الرياض المالية"""": نتائج #الاتصالات_السعودية فاقت توقعاتنا.. ونجحت في تنويع مصادر #الإيرادات وتطبيق إجراءات خفض المصاريف",,,,
"""""""شركة الاتصالات السعوديه"""" إذاً ماعيّنا خير  """,,,,
"""""""هيئة الاتصالات"""" تدشن أعمال فريق العمل الوطني لتمكين الجيل الـ 5 في المملكة    #السعودية #صحيفة_مال""",,,,
"""""2020"""":",,,,
"""""استمرار"""" إلى 604445""",,,,
"""""الجيل",,,,
"""""تخيّل يا معالي الوزير أن هذه الصورة لتجربة قياس النت من باقة 800 مفوتر من الاتصالات السعودية !",,,,
"""#stc #الاتصالات_السعودية #هيئة_الاتصالات",,,,
"""#اتمنى #تقرير مشابه لدينا صادر من #هيئة_الاتصالات   مع #الشكاوي على #شركات #الاتصالات وسوء #الخدمات منها",,,,
"""#الاتحاد_الاهلي",,,,
"""#الاتصالات السعوديه",,,,
"""#الاتصالات"" تلزم الشركات المشغلة بالمشاركة في الأبراج ومكونات الشبكة عند تقديم الخدمات ",,,,
"""#الاتصالات"" تلزم المشغلين بمشاركة الأبراج ومكونات الشبكة عند نشر الخدمات -  #الاتصالات#صحيفة_البلاد    ",,,,
"""#الاتصالات_السعودية",,,,
"""#الاتصالات_السعودية الاشتراك 20ميغا  والسرعه توصلك 11بالكثير .. ويقطع",,,,
"""#الاتصالات_السعودية تجاوزت الحد الائتماني بالبطء",,,,
"""#الاتصالات_السعودية تعلن عن مجموعة وظائف للخريجين الجدد في مجال أمن المعلومات للجنسين.",,,,
"""#الاتصالات_السعودية"" تقر توزيع أرباح نقدية بنسبة 10 % (بواقع ريال واحد للسهم) عن الربع الرابع 2017
   ",,,,
"""#الاتصالات_السعودية_لاتحترم_عملائها",,,,
"""#الانترنت_عندك_سريع_او_بطي",,,,
"""#الانترنت_عندك_سريع_او_بطي.",,,,
"""#الأتصالات في السعوديه",,,,
"""#الخرج",,,,
"""#السعودية",,,,
"""#السعودية_للسعوديين #هو_الله #هؤلاء_اسلافي #هرمزگان #هاشمی_شاهرودی #هيئة_الغذاء_والدواء #هوايي #هنا_المسيرة #هيئة_الاتصالات",,,,
"""#السعوديه_الامارات_بلد_واحد",,,,
"""#اللهم صلى وسلم على سيدنا محمد",,,,
"""#النصر_احد",,,,
"""#بن_دغر اعرفه شخصياً من ايام ماكان وزير الاتصالات",,,,
"""#تعالو_نناقش_مشاكلنا",,,,
"""#حملة_مقاطعة_شركات_الاتصالات_السعودية",,,,
"""#رقص_شارع_الفن_بابها",,,,
"""#روائع_سلتي",,,,
"""#شعوري_بالليل_يقول",,,,
"""#شي_مايحبه_المستهلك",,,,
"""#غياب_الرقابه_يشعل_الاسعار",,,,
"""#قرية_ام_الغيران_بلا_خدمات",,,,
"""#قريه_ام_الغيران_بلا_خدمات",,,,
"""#كَمُغرد_عراقي من حقي اشحن موبايلي وانام",,,,
"""#كلام_معلمين_في_المكس",,,,
"""#موبايلي و #stc",,,,
"""#موظفين_stc_حلول_مشاريع",,,,
"""#موظفين_stc_حلول_مشاريع            نحتاج حق من حقوقنا  ..",,,,
"""#هيئة_الاتصالات",,,,
"""#هيئة_الاتصالات تُلزم المشغلين بمشاركة الأبراج  ومكونات #الشبكة .",,,,
"""#هيئة_الاتصالات تدشن أعمال فريق العمل الخاص بتمكين الجيل الخامس في المملكة",,,,
"""#هيئة_الاتصالات تدشن أعمال فريق العمل الوطني لتمكين الجيل الخامس في #المملكة",,,,
"""#هيئة_الاتصالات تعلن انطلاق أعمال فريق العمل الوطني لتمكين الجيل الخامس #5G في #السعودية",,,,
"""#هيئة_الاتصالات وتقنية المعلومات تعلن انطلاق أعمال فريق العمل الوطني لتمكين الجيل الخامس في #المملكة.",,,,
"""#هيئة_الاتصالات"" تحذر المواطنين من رسائل احتيال عبر أحد التطبيقات 
 ",,,,
"""#هيئة_الاتصالات"" تلزم المشغلين بمشاركة الأبراج ومكونات الشبكة عند نشر خدمات #الاتصالات و #تقنية_المعلومات، بهدف زيادة نسب تغطية الشبكات.  ",,,,
"""#هيئة_الاتصالات"" تلزم المشغلين بمشاركة الأبراج ومكونات الشبكة عند نشر خدمات #الاتصالات و #تقنية_المعلومات، بهدف زيادة نسب تغطية الشبكات.   لحماية سيارتك من السرقة ومعرفة خط سيرها واطفاها وتشغيلها عن بعد  ",,,,
"""#هيئة_الاتصالات:  تدشين أعمال فريق العمل الخاص بتمكين تقنيات الجيل الخامس في المملكة .",,,,
